b,Pizza Slice,298,12.1,34,13.3,,,,,,
b,Berry Pie Slice,360,17.5,49.2,4,,,,,,
b,Yogurt (4oz),100,1.5,19,4,,,,,,
b,Hot Dog,190,16,4,7,,,,,,
b,Hot Dog Bun,110,1.5,21,3,,,,,,
r,HotDog+Bun,Hot Dog,1,Hot Dog Bun,1,,,,,,
b,Potato Salad (cup),358,20.5,27.9,6.7,,,,,,
b,Bread (slice),80,1,15,2,,,,,,
b,Peanut Butter (tbsp),95,8,3.5,4,,,,,,
r,PB Sandwich,Bread (slice),2,Peanut Butter (tbsp),2,,,,,,
b,Jelly (tbsp),56,6.3,14.7,0,,,,,,
r,PB+J Sandwich,PB Sandwich,1,Jelly (tbsp),1,,,,,,
b,Cola (can),140,0,39,0,,,,,,
r,Bad Dinner,Pizza Slice,2,HotDog+Bun,2,Potato Salad (cup),1.8,Cola (can),1,Berry Pie Slice,1.5
b,Banana,50,3,7,1,,,,,,
b,Banana Split,600,12,20,5,,,,,,
